CNTYVTD,VTDKEY,BellD_20P_U.S. Sen,CooperD_20P_U.S. Sen,EdwardsD_20P_U.S. Sen,FosterD_20P_U.S. Sen,GarciaD_20P_U.S. Sen,HarrisD_20P_U.S. Sen,HegarD_20P_U.S. Sen,HernandezD_20P_U.S. Sen,HunterD_20P_U.S. Sen,OceguedaD_20P_U.S. Sen,RamirezD_20P_U.S. Sen,WestD_20P_U.S. Sen
4710204,9241,14,1,6,1,4,2,8,0,0,0,1,14
4710205,9242,53,6,30,4,20,12,86,22,2,6,19,29
4710206,9243,15,4,4,0,6,0,15,6,0,0,6,6
4710301,9244,40,11,28,4,26,14,39,32,6,7,14,34
4710302,9245,7,1,5,0,2,3,10,6,0,1,5,4
4710303,9246,7,0,3,0,5,1,4,3,0,1,2,3
4710304,9247,38,6,25,2,19,9,45,20,2,0,10,13
4710401,9248,25,12,21,7,28,19,30,34,0,4,33,14
4710403,9249,16,2,5,4,2,1,20,3,0,2,7,5
4710403,9250,0,0,0,0,0,0,0,0,0,0,0,0
4710404,9251,39,5,25,1,15,7,33,18,7,2,5,34
4710405,9252,1,0,1,0,0,0,2,0,0,0,0,1
4730101,9253,28,3,6,1,16,0,15,8,1,3,7,12
4730102,9254,81,15,17,6,32,1,23,7,9,4,18,62
4730103,9255,9,2,0,1,0,2,5,3,2,0,3,0
4730104,9256,13,1,2,1,2,0,9,5,2,0,3,15
4730105,9257,12,1,1,2,5,0,6,2,0,0,5,0
4730106,9258,30,5,6,4,16,2,13,9,0,3,10,18
4730207,9259,31,4,9,4,13,2,33,10,2,0,2,2
4730208,9260,37,1,6,5,16,1,24,7,1,1,14,24
4730209,9261,22,1,13,0,15,0,34,16,2,5,7,4
4730210,9262,2,2,1,2,2,1,4,2,2,0,2,0
4730311,9263,32,21,19,15,52,7,10,10,8,8,13,267
4730312,9264,42,6,12,4,21,2,19,7,2,4,10,125
4730313,9265,29,2,2,1,8,1,19,11,2,1,7,4
4730314,9266,12,1,0,3,4,0,4,4,0,0,3,4
4730315,9267,3,3,2,1,2,0,1,2,0,1,1,2
4730416,9268,7,1,1,0,1,0,6,2,0,0,0,2
4730417,9269,0,0,0,0,0,0,0,0,0,0,0,0
4730418,9270,27,3,9,1,17,3,24,7,1,1,7,7
4730419,9271,57,8,17,8,23,3,13,15,2,5,13,37
4730420,9272,43,5,8,0,21,2,39,13,3,6,26,21
4750002,9273,2,9,7,3,19,0,3,15,1,2,20,5
475001,9274,5,14,11,0,27,10,8,15,2,8,25,11
475001,9275,0,4,4,0,10,0,0,3,1,1,12,1
475003,9276,2,8,5,0,5,1,0,2,0,0,15,0
475003,9277,1,0,0,0,1,0,0,0,0,2,0,0
475004,9278,4,9,3,0,8,1,0,1,1,0,9,4
475004,9279,1,1,1,0,0,0,2,1,0,1,1,0
475004,9280,0,1,0,0,3,1,0,1,0,0,1,1
4770101,9281,23,9,8,3,2,2,34,4,0,0,4,8
4770104,9282,47,27,25,3,26,14,56,14,1,1,11,27
4770109,9283,7,4,5,0,2,2,9,2,0,0,5,5
4770115,9284,9,5,7,1,4,1,15,0,0,0,2,2
4770117,9285,1,1,0,0,1,0,1,1,0,0,1,0
4770121,9286,1,0,3,0,0,1,6,0,0,0,1,0
4770202,9287,2,0,3,0,0,0,0,0,0,0,1,0
4770203,9288,22,9,8,0,8,3,46,5,1,1,6,7
4770205,9289,25,6,8,2,15,2,73,5,1,5,11,13
4770208,9290,7,3,4,1,2,0,27,2,0,0,9,3
4770307,9291,6,4,8,3,9,0,38,4,0,1,7,5
4770311,9292,6,5,6,0,5,1,24,2,1,1,5,1
4770312,9293,6,4,3,0,1,1,22,2,0,0,4,1
4770320,9294,8,3,6,3,7,0,40,6,0,0,3,4
4770406,9295,20,8,10,1,14,2,48,7,0,0,7,6
4770410,9296,8,3,1,4,3,2,30,2,2,3,4,1
4770413,9297,12,2,6,0,1,0,40,3,0,2,7,6
4770418,9298,7,1,1,1,4,2,28,4,0,1,4,1
4770419,9299,5,3,3,1,3,0,29,1,0,0,2,5
4790123,9300,13,23,10,6,40,15,11,13,3,4,44,5
4790124,9301,30,46,26,19,96,22,9,36,7,10,78,9
4790125,9302,19,18,14,1,39,12,7,18,1,12,32,6
4790128,9303,19,31,24,13,70,29,7,25,3,9,35,8
4790129,9304,38,56,30,11,123,45,9,47,3,14,65,6
4790130,9305,41,62,34,9,139,49,10,54,3,9,78,5
4790132,9306,38,73,38,18,127,41,16,65,4,20,81,9
4790133,9307,37,53,30,11,115,40,8,39,5,13,54,10
4790134,9308,17,33,24,10,67,24,3,25,6,12,42,2
4790135,9309,13,21,12,4,53,13,5,20,4,7,30,4
4790136,9310,10,9,9,5,25,6,4,8,2,1,14,2
4790154,9311,17,27,16,1,54,19,6,15,4,8,29,1
4790164,9312,14,25,14,5,63,11,12,19,2,8,44,2
4790169,9313,28,37,26,12,76,32,12,33,10,16,47,11
4790176,9314,10,22,11,4,37,10,5,15,1,6,18,2
4790176,9315,0,0,0,0,1,0,0,0,0,0,0,0
4790177,9316,24,31,19,6,65,28,7,24,3,10,31,7
4790218,9317,28,35,25,18,93,17,15,45,5,8,104,14
4790219,9318,27,20,33,10,86,20,17,30,6,2,92,8
4790220,9319,18,17,22,16,69,20,15,20,3,8,58,3
4790221,9320,23,21,25,7,69,12,28,20,10,10,100,13
4790226,9321,20,22,10,9,42,12,11,20,2,3,52,3
4790227,9322,7,11,10,3,37,8,5,14,1,4,25,3
4790231,9323,20,35,32,12,95,26,12,40,5,6,87,9
4790237,9324,23,24,19,7,42,10,4,22,4,4,37,1
4790238,9325,7,9,3,5,8,7,2,6,1,1,15,0
4790239,9326,27,36,29,10,87,17,18,32,4,9,86,11
4790250,9327,25,36,33,16,97,30,12,44,6,13,78,11
4790250,9328,0,0,0,0,0,0,0,0,0,0,0,0
4790250,9329,0,0,0,0,4,0,0,2,0,0,2,0
4790251,9330,9,11,9,3,25,10,2,19,0,6,26,5
4790252,9331,28,60,37,13,114,31,8,51,3,11,81,9
4790255,9332,30,44,38,15,126,24,29,53,6,15,101,20
4790266,9333,17,29,18,8,52,15,5,27,3,4,48,3
4790267,9334,24,30,20,11,70,24,18,37,5,8,64,3
4790268,9335,0,4,5,3,16,2,1,6,1,2,11,2
4790272,9336,25,37,29,9,92,18,21,36,6,10,85,13
4790273,9337,24,35,35,15,79,31,16,39,8,10,81,10
4790274,9338,25,37,25,8,78,29,7,41,3,8,67,6
4790275,9339,11,22,14,5,37,12,3,20,2,5,27,3
4790275,9340,0,1,0,0,2,0,0,0,0,0,1,0
4790278,9341,2,1,0,0,4,2,1,0,0,0,6,2
