CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President,BennetD_20P_President_Percentage,BidenD_20P_President_Percentage,BloombergD_20P_President_Percentage,BookerD_20P_President_Percentage,CastroD_20P_President_Percentage,De La FuenteD_20P_President_Percentage,DelaneyD_20P_President_Percentage,GabbardD_20P_President_Percentage,KlobucharD_20P_President_Percentage,PatrickD_20P_President_Percentage,SandersD_20P_President_Percentage,SteyerD_20P_President_Percentage,WarrenD_20P_President_Percentage,WellsD_20P_President_Percentage,WilliamsonD_20P_President_Percentage,YangD_20P_President_Percentage,ButtigiegD_20P_President_Percentage
70002,70,0,82,24,0,0,3,0,1,6,1,48,0,18,0,0,0,14,0.0,0.41624365482233505,0.1218274111675127,0.0,0.0,0.015228426395939087,0.0,0.005076142131979695,0.030456852791878174,0.005076142131979695,0.2436548223350254,0.0,0.09137055837563451,0.0,0.0,0.0,0.07106598984771574
70003,71,0,155,55,0,0,3,0,0,23,1,57,0,32,0,1,3,21,0.0,0.4415954415954416,0.15669515669515668,0.0,0.0,0.008547008547008548,0.0,0.0,0.06552706552706553,0.002849002849002849,0.1623931623931624,0.0,0.09116809116809117,0.0,0.002849002849002849,0.008547008547008548,0.05982905982905983
70004,72,0,143,54,0,0,0,0,3,15,1,56,2,37,1,0,1,17,0.0,0.43333333333333335,0.16363636363636364,0.0,0.0,0.0,0.0,0.00909090909090909,0.045454545454545456,0.0030303030303030303,0.1696969696969697,0.006060606060606061,0.11212121212121212,0.0030303030303030303,0.0,0.0030303030303030303,0.051515151515151514
7001,73,0,27,14,0,0,1,0,0,3,0,15,0,11,0,0,0,4,0.0,0.36,0.18666666666666668,0.0,0.0,0.013333333333333334,0.0,0.0,0.04,0.0,0.2,0.0,0.14666666666666667,0.0,0.0,0.0,0.05333333333333334
7004,74,0,43,11,0,1,0,0,1,3,0,9,1,8,0,0,1,6,0.0,0.5119047619047619,0.13095238095238096,0.0,0.011904761904761904,0.0,0.0,0.011904761904761904,0.03571428571428571,0.0,0.10714285714285714,0.011904761904761904,0.09523809523809523,0.0,0.0,0.011904761904761904,0.07142857142857142
90001,75,0,11,5,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0.0,0.5238095238095238,0.23809523809523808,0.0,0.0,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616
90002,76,0,13,3,0,0,0,0,0,0,0,5,1,2,0,0,0,1,0.0,0.52,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.04,0.08,0.0,0.0,0.0,0.04
90003,77,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
90004,78,0,1,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
90005,79,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
90006,80,0,10,8,0,0,0,0,1,0,0,5,0,2,0,0,0,1,0.0,0.37037037037037035,0.2962962962962963,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.18518518518518517,0.0,0.07407407407407407,0.0,0.0,0.0,0.037037037037037035
90007,81,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
90008,82,0,5,3,1,0,0,0,0,1,0,3,0,1,0,0,0,2,0.0,0.3125,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875,0.0,0.0625,0.0,0.0,0.0,0.125
90009,83,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
