CNTYVTD,VTDKEY,BennetD_20P_President,BidenD_20P_President,BloombergD_20P_President,BookerD_20P_President,CastroD_20P_President,De La FuenteD_20P_President,DelaneyD_20P_President,GabbardD_20P_President,KlobucharD_20P_President,PatrickD_20P_President,SandersD_20P_President,SteyerD_20P_President,WarrenD_20P_President,WellsD_20P_President,WilliamsonD_20P_President,YangD_20P_President,ButtigiegD_20P_President
"0270315",237,0,98,30,0,0,0,0,1,6,0,82,0,34,0,0,0,16
"0270317",238,0,60,17,0,0,0,0,1,4,0,41,0,13,0,0,1,4
"0270318",239,1,108,40,3,1,1,1,4,9,0,109,1,46,2,0,2,20
"0270319",240,1,122,37,0,1,0,0,1,10,0,96,1,33,0,0,1,14
"0270401",241,0,82,27,0,0,0,0,1,2,0,65,1,14,0,0,0,12
"0270402",242,0,201,43,0,1,0,0,3,6,0,120,3,33,0,2,3,8
"0270404",243,1,200,64,1,2,1,0,4,7,0,124,1,41,1,1,2,6
"0270405",244,2,194,50,1,1,2,1,1,5,0,134,1,28,1,2,1,8
"0270406",245,0,97,36,1,1,1,1,2,3,0,71,1,22,0,1,1,9
"0270408",246,2,188,64,1,3,0,1,2,4,1,120,4,37,0,0,4,7
"0270409",247,0,136,33,2,1,0,0,1,2,0,71,3,28,0,0,0,5
"0270410",248,0,63,33,0,3,1,0,1,2,0,73,0,11,1,0,1,8
"0270412",249,1,205,51,0,2,0,1,2,3,0,106,2,28,0,1,2,5
"0270413",250,1,177,32,1,1,0,0,1,2,0,113,2,28,0,1,1,4
"0270414",251,1,217,58,1,2,0,1,1,5,1,129,4,43,0,1,2,7
"0270415",252,0,172,50,0,0,0,0,1,6,0,109,2,27,0,0,3,9
"0270419",253,0,62,15,0,0,0,0,0,1,0,25,0,10,0,0,0,1
"0291001",254,1,47,27,0,3,0,0,0,5,0,37,1,33,0,0,0,9
"0291002",255,0,39,20,0,0,0,0,0,1,0,34,0,5,0,0,1,7
"0291003",256,0,103,54,0,13,0,1,3,7,0,201,3,90,1,0,1,11
"0291004",257,0,27,39,0,9,0,0,1,1,0,59,0,22,0,0,0,3
"0291005",258,0,32,13,0,7,0,0,0,0,0,47,4,13,0,0,2,3
"0291006",259,0,87,56,0,14,0,1,0,7,0,145,3,26,0,0,0,7
"0291007",260,0,72,52,0,8,0,0,0,0,0,75,0,27,0,0,1,6
"0291008",261,0,116,71,0,8,0,0,2,11,0,198,3,122,0,0,1,29
"0291009",262,0,64,34,0,2,0,0,0,0,0,66,3,29,0,0,1,8
"0291010",263,0,14,18,1,1,1,0,1,4,0,85,3,28,0,0,1,9
"0291011",264,0,36,28,3,7,0,1,3,4,0,58,4,15,0,1,0,5
"0291012",265,1,83,63,0,8,0,0,0,8,0,110,7,27,0,0,0,5
"0291013",266,2,112,84,0,20,0,0,0,5,0,124,5,48,0,0,0,15
"0291014",267,0,58,25,0,12,0,0,0,1,0,60,0,9,0,0,1,9
"0291015",268,2,43,20,0,10,1,0,0,2,0,71,1,14,0,0,0,2
"0291016",269,0,35,42,0,16,0,0,0,1,0,74,2,14,0,0,0,1
"0291017",270,0,14,8,0,1,0,0,0,0,0,7,0,6,0,0,0,0
"0291018",271,0,30,25,0,5,0,0,0,0,0,63,0,13,0,0,0,2
"0291019",272,0,29,22,0,6,1,0,0,2,0,61,3,15,0,0,2,7
"0291020",273,0,65,48,0,9,0,0,0,2,0,119,0,22,0,0,0,1
"0291021",274,1,73,69,1,15,1,0,1,3,1,91,0,29,0,0,1,2
"0291022",275,0,30,26,0,2,1,1,0,0,1,58,3,12,0,0,0,1
"0291023",276,3,76,81,0,30,3,0,1,2,0,107,2,21,2,1,2,10
"0291024",277,2,116,89,0,12,2,1,0,10,1,163,6,55,0,0,1,10
"0291025",278,0,13,14,1,4,0,0,0,0,0,31,1,5,0,0,0,2
"0291026",279,2,44,25,0,13,1,0,0,1,0,75,1,18,0,0,1,0
"0291027",280,0,8,5,0,2,0,0,1,0,0,11,0,9,0,0,0,0
"0291028",281,1,24,23,0,4,0,0,0,0,0,46,3,16,0,0,2,2
"0291029",282,2,85,45,0,14,1,0,0,3,0,107,2,22,0,0,0,7
"0291030",283,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0
"0291031",284,1,54,33,0,17,0,0,0,2,0,88,1,16,0,1,0,9
"0291032",285,0,80,61,0,13,2,2,1,4,0,142,4,21,1,0,1,9
"0291033",286,1,41,43,0,7,1,0,0,7,0,83,1,20,0,0,1,5
"0291034",287,1,172,31,1,4,0,0,2,5,0,170,6,48,0,0,2,12
"0291035",288,0,12,4,0,3,0,0,0,1,0,18,0,6,0,0,0,2
"0291036",289,0,123,66,1,19,1,0,1,9,0,135,2,41,0,0,1,19
"0291037",290,0,82,69,0,18,3,0,2,7,0,110,4,22,0,2,0,10
"0291038",291,1,114,74,0,21,0,0,0,13,0,154,6,42,0,0,2,16
"0291039",292,2,67,43,0,17,0,1,1,4,0,127,1,23,1,0,0,3
"0291040",293,1,86,74,0,28,1,0,2,4,0,128,3,33,0,0,1,4
"0291041",294,0,57,55,0,15,1,0,2,4,0,113,5,21,1,1,0,8
"0291042",295,0,36,37,0,13,0,0,1,1,0,57,0,14,1,0,0,3
"0291043",296,1,45,43,0,5,1,0,0,3,0,62,2,23,0,1,0,7
"0291044",297,3,89,77,2,19,1,0,0,4,0,117,1,32,0,0,0,6
"0291045",298,0,98,97,1,21,1,0,1,3,0,198,3,45,0,1,0,11
"0291046",299,0,73,76,1,20,0,1,0,8,0,108,8,34,0,1,0,13
"0291047",300,1,43,64,0,15,1,0,0,3,0,101,4,18,0,0,0,6
"0291048",301,0,91,54,0,23,2,0,0,8,0,124,3,26,0,0,0,12
"0291049",302,0,77,80,1,24,0,0,0,7,0,160,5,27,0,0,0,8
"0291050",303,0,29,23,0,7,3,1,0,3,0,51,3,13,0,0,0,5
"0291051",304,0,83,67,0,13,0,0,0,4,0,129,2,12,0,0,0,6
"0291052",305,0,67,66,0,13,2,0,0,6,0,110,3,18,1,0,0,2
"0291053",306,1,10,12,0,1,0,0,0,0,0,19,0,4,0,0,1,0
"0291054",307,1,93,104,0,22,0,0,0,6,0,162,6,42,0,0,2,11
"0291055",308,1,109,39,0,8,0,1,0,4,0,108,3,31,0,0,0,11
"0291056",309,1,115,71,1,16,0,0,2,5,1,162,5,52,0,0,2,17
"0291057",310,1,58,32,0,4,3,0,0,1,0,82,2,18,0,0,1,8
"0291058",311,0,73,32,2,12,2,1,0,3,0,93,8,27,0,0,1,7
