CNTYVTD,VTDKEY,AllredD_18P_U.S. Rep 32,MaternowskiD_18P_U.S. Rep 32,ShippD_18P_U.S. Rep 32,MarshallD_18P_U.S. Rep 32,SalernoD_18P_U.S. Rep 32,RodriguezD_18P_U.S. Rep 32,MeierD_18P_U.S. Rep 32,AllredD_18P_U.S. Rep 32_Percentage,MaternowskiD_18P_U.S. Rep 32_Percentage,ShippD_18P_U.S. Rep 32_Percentage,MarshallD_18P_U.S. Rep 32_Percentage,SalernoD_18P_U.S. Rep 32_Percentage,RodriguezD_18P_U.S. Rep 32_Percentage,MeierD_18P_U.S. Rep 32_Percentage
1132082,2282,110,8,52,4,110,33,29,0.3179190751445087,0.023121387283236993,0.15028901734104047,0.011560693641618497,0.3179190751445087,0.0953757225433526,0.0838150289017341
1132083,2283,62,5,27,3,29,19,31,0.3522727272727273,0.028409090909090908,0.1534090909090909,0.017045454545454544,0.16477272727272727,0.10795454545454546,0.17613636363636365
1132085,2285,6,1,8,0,7,3,6,0.1935483870967742,0.03225806451612903,0.25806451612903225,0.0,0.22580645161290322,0.0967741935483871,0.1935483870967742
1132086,2286,168,9,57,7,98,29,86,0.3700440528634361,0.019823788546255508,0.12555066079295155,0.015418502202643172,0.21585903083700442,0.06387665198237885,0.1894273127753304
1132087,2287,207,12,62,11,124,31,73,0.39807692307692305,0.023076923076923078,0.11923076923076924,0.021153846153846155,0.23846153846153847,0.05961538461538462,0.14038461538461539
1132090,2288,4,0,0,0,1,0,0,0.8,0.0,0.0,0.0,0.2,0.0,0.0
1132091,2289,37,1,18,0,8,1,2,0.5522388059701493,0.014925373134328358,0.26865671641791045,0.0,0.11940298507462686,0.014925373134328358,0.029850746268656716
1132092,2290,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132094,2291,16,1,3,2,8,5,10,0.35555555555555557,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.17777777777777778,0.1111111111111111,0.2222222222222222
1132095,2292,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132098,2295,99,4,24,3,45,9,50,0.4230769230769231,0.017094017094017096,0.10256410256410256,0.01282051282051282,0.19230769230769232,0.038461538461538464,0.21367521367521367
1132099,2296,254,23,93,8,103,46,97,0.40705128205128205,0.03685897435897436,0.14903846153846154,0.01282051282051282,0.16506410256410256,0.07371794871794872,0.15544871794871795
1132101,2299,59,8,29,2,41,13,27,0.329608938547486,0.0446927374301676,0.16201117318435754,0.0111731843575419,0.22905027932960895,0.07262569832402235,0.15083798882681565
1132102,2300,152,7,39,6,65,13,69,0.43304843304843305,0.019943019943019943,0.1111111111111111,0.017094017094017096,0.18518518518518517,0.037037037037037035,0.19658119658119658
1132103,2301,40,2,21,2,39,8,22,0.29850746268656714,0.014925373134328358,0.15671641791044777,0.014925373134328358,0.291044776119403,0.05970149253731343,0.16417910447761194
1132108,2306,37,4,6,2,12,9,9,0.46835443037974683,0.05063291139240506,0.0759493670886076,0.02531645569620253,0.1518987341772152,0.11392405063291139,0.11392405063291139
1132109,2307,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1132111,2309,0,0,3,0,1,0,0,0.0,0.0,0.75,0.0,0.25,0.0,0.0
1132112,2310,2,1,3,0,5,0,1,0.16666666666666666,0.08333333333333333,0.25,0.0,0.4166666666666667,0.0,0.08333333333333333
1132113,2311,0,1,1,0,0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
1132114,2312,182,8,65,2,68,18,85,0.4252336448598131,0.018691588785046728,0.15186915887850466,0.004672897196261682,0.1588785046728972,0.04205607476635514,0.1985981308411215
1132115,2313,9,0,7,0,5,0,7,0.32142857142857145,0.0,0.25,0.0,0.17857142857142858,0.0,0.25
1132116,2314,7,1,4,0,4,2,0,0.3888888888888889,0.05555555555555555,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0
1132117,2315,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
