CNTYVTD,VTDKEY,BlewettR_24P_U.S. Rep 32,DayR_24P_U.S. Rep 32,FeriaR_24P_U.S. Rep 32,KhanR_24P_U.S. Rep 32,BlewettR_24P_U.S. Rep 32_Percentage,DayR_24P_U.S. Rep 32_Percentage,FeriaR_24P_U.S. Rep 32_Percentage,KhanR_24P_U.S. Rep 32_Percentage
1132126,2324,11,14,0,2,0.4074074074074074,0.5185185185185185,0.0,0.07407407407407407
1132127,2325,88,76,22,14,0.44,0.38,0.11,0.07
1132128,2326,95,87,27,16,0.4222222222222222,0.38666666666666666,0.12,0.07111111111111111
1132129,2327,6,3,4,2,0.4,0.2,0.26666666666666666,0.13333333333333333
1132130,2328,19,17,3,3,0.4523809523809524,0.40476190476190477,0.07142857142857142,0.07142857142857142
1132131,2329,22,10,9,6,0.46808510638297873,0.2127659574468085,0.19148936170212766,0.1276595744680851
1132132,2330,18,9,3,4,0.5294117647058824,0.2647058823529412,0.08823529411764706,0.11764705882352941
1132133,2331,1,0,0,0,1.0,0.0,0.0,0.0
1132134,2332,29,17,3,4,0.5471698113207547,0.32075471698113206,0.05660377358490566,0.07547169811320754
1132137,2333,11,11,3,1,0.4230769230769231,0.4230769230769231,0.11538461538461539,0.038461538461538464
1132138,2334,9,6,5,3,0.391304347826087,0.2608695652173913,0.21739130434782608,0.13043478260869565
1132139,2335,7,6,2,1,0.4375,0.375,0.125,0.0625
1132140,2336,4,7,2,1,0.2857142857142857,0.5,0.14285714285714285,0.07142857142857142
1132141,2337,10,4,2,0,0.625,0.25,0.125,0.0
1132142,2338,15,9,7,1,0.46875,0.28125,0.21875,0.03125
1132143,2339,7,5,2,0,0.5,0.35714285714285715,0.14285714285714285,0.0
1132144,2340,53,17,8,9,0.6091954022988506,0.19540229885057472,0.09195402298850575,0.10344827586206896
1132145,2341,57,22,8,10,0.5876288659793815,0.2268041237113402,0.08247422680412371,0.10309278350515463
1132146,2342,29,26,7,9,0.4084507042253521,0.36619718309859156,0.09859154929577464,0.1267605633802817
1132147,2343,113,35,10,16,0.6494252873563219,0.20114942528735633,0.05747126436781609,0.09195402298850575
1132148,2344,7,2,1,4,0.5,0.14285714285714285,0.07142857142857142,0.2857142857142857
1132149,2345,41,17,6,5,0.5942028985507246,0.2463768115942029,0.08695652173913043,0.07246376811594203
1132150,2346,13,14,8,5,0.325,0.35,0.2,0.125
1132151,2347,12,3,2,2,0.631578947368421,0.15789473684210525,0.10526315789473684,0.10526315789473684
1132152,2348,23,21,8,3,0.41818181818181815,0.38181818181818183,0.14545454545454545,0.05454545454545454
1132153,2349,34,11,2,5,0.6538461538461539,0.21153846153846154,0.038461538461538464,0.09615384615384616
1132154,2350,1,0,0,0,1.0,0.0,0.0,0.0
1132155,2351,114,30,12,7,0.6993865030674846,0.18404907975460122,0.0736196319018405,0.04294478527607362
1132305,2367,46,39,11,5,0.45544554455445546,0.38613861386138615,0.10891089108910891,0.04950495049504951
1132402,2380,108,114,26,24,0.39705882352941174,0.41911764705882354,0.09558823529411764,0.08823529411764706
1132403,2381,0,0,0,0,0.0,0.0,0.0,0.0
1132404,2382,48,42,22,11,0.3902439024390244,0.34146341463414637,0.17886178861788618,0.08943089430894309
1132406,2384,122,112,26,22,0.4326241134751773,0.3971631205673759,0.09219858156028368,0.07801418439716312
1132410,2388,52,39,13,9,0.46017699115044247,0.34513274336283184,0.11504424778761062,0.07964601769911504
1132417,2391,10,9,1,1,0.47619047619047616,0.42857142857142855,0.047619047619047616,0.047619047619047616
1132501,2393,77,94,25,13,0.3684210526315789,0.44976076555023925,0.11961722488038277,0.06220095693779904
1132502,2394,157,161,13,14,0.45507246376811594,0.4666666666666667,0.03768115942028986,0.04057971014492753
1132505,2397,78,89,26,16,0.37320574162679426,0.4258373205741627,0.12440191387559808,0.07655502392344497
1132508,2400,65,87,15,15,0.35714285714285715,0.47802197802197804,0.08241758241758242,0.08241758241758242
1132509,2401,166,203,35,26,0.386046511627907,0.4720930232558139,0.08139534883720931,0.06046511627906977
1132510,2402,72,83,12,11,0.4044943820224719,0.46629213483146065,0.06741573033707865,0.06179775280898876
1132511,2403,82,113,23,15,0.351931330472103,0.48497854077253216,0.09871244635193133,0.06437768240343347
1132512,2404,81,74,12,12,0.45251396648044695,0.4134078212290503,0.0670391061452514,0.0670391061452514
1132513,2405,116,102,22,23,0.44106463878326996,0.38783269961977185,0.08365019011406843,0.08745247148288973
1132514,2406,108,149,25,27,0.34951456310679613,0.48220064724919093,0.08090614886731391,0.08737864077669903
1132517,2408,30,33,9,18,0.3333333333333333,0.36666666666666664,0.1,0.2
1132518,2409,79,125,23,16,0.32510288065843623,0.51440329218107,0.09465020576131687,0.06584362139917696
1132519,2410,56,61,21,16,0.36363636363636365,0.3961038961038961,0.13636363636363635,0.1038961038961039
1132520,2411,80,92,23,30,0.35555555555555557,0.4088888888888889,0.10222222222222223,0.13333333333333333
1132521,2412,57,76,21,17,0.3333333333333333,0.4444444444444444,0.12280701754385964,0.09941520467836257
1132523,2413,31,34,8,11,0.36904761904761907,0.40476190476190477,0.09523809523809523,0.13095238095238096
1132901,2440,20,17,5,7,0.40816326530612246,0.3469387755102041,0.10204081632653061,0.14285714285714285
1132902,2441,40,38,13,7,0.40816326530612246,0.3877551020408163,0.1326530612244898,0.07142857142857142
1132903,2442,62,38,20,14,0.4626865671641791,0.2835820895522388,0.14925373134328357,0.1044776119402985
1132913,2447,1,0,0,0,1.0,0.0,0.0,0.0
113291,2448,0,0,0,0,0.0,0.0,0.0,0.0
1133116,2570,0,0,0,0,0.0,0.0,0.0,0.0
1133308,2596,37,39,11,5,0.40217391304347827,0.42391304347826086,0.11956521739130435,0.05434782608695652
1133314,2602,76,62,25,8,0.4444444444444444,0.36257309941520466,0.14619883040935672,0.04678362573099415
1133327,2610,0,0,0,0,0.0,0.0,0.0,0.0
1133328,2611,1,2,0,0,0.3333333333333333,0.6666666666666666,0.0,0.0
1212100,3038,71,55,14,10,0.47333333333333333,0.36666666666666664,0.09333333333333334,0.06666666666666667
1212101,3039,33,38,5,5,0.4074074074074074,0.4691358024691358,0.06172839506172839,0.06172839506172839
1212102,3040,110,140,36,13,0.36789297658862874,0.4682274247491639,0.12040133779264214,0.043478260869565216
1212103,3041,81,100,13,10,0.39705882352941174,0.49019607843137253,0.06372549019607843,0.049019607843137254
1212109,3047,96,156,32,22,0.3137254901960784,0.5098039215686274,0.10457516339869281,0.0718954248366013
