CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
0294190,1004,0,0,0
0294191,1005,0,0,0
0294192,1006,0,0,0
0294193,1007,0,0,0
0294194,1008,36,1,0
0294195,1009,0,0,0
0294196,1010,0,0,0
0294197,1011,0,0,0
0294198,1012,62,5,3
0294199,1013,62,5,8
0294200,1014,142,10,10
0294201,1015,1,0,0
0294202,1016,0,0,0
0294203,1017,4,0,3
0294204,1018,0,0,0
0294205,1019,3,1,0
0294206,1020,27,2,0
0294207,1021,0,0,0
0294208,1022,0,0,0
0294209,1023,13,0,0
0294210,1024,0,0,1
0294211,1025,3,0,0
0294212,1026,0,0,0
0294213,1027,5,0,0
0294214,1028,140,9,6
0294215,1029,29,3,3
0294216,1030,44,2,2
0294217,1031,4,0,3
0294218,1032,0,0,0
0294219,1033,0,0,0
0294220,1034,0,0,0
0294221,1035,0,0,0
0294222,1036,59,8,5
0294223,1037,3,0,0
0294224,1038,0,0,0
0294225,1039,38,5,1
0294226,1040,26,3,2
0294227,1041,0,0,0
0294228,1042,32,6,1
0294229,1043,54,4,4
0294230,1044,39,5,3
0310102,1045,763,39,31
0310201,1046,718,25,30
0310302,1047,386,18,19
0310303,1048,290,15,18
0310401,1049,625,40,33
0330002,1050,62,1,1
0330003,1051,63,5,1
0330004,1052,41,0,0
033001,1053,27,0,0
033001,1054,15,0,0
0350001,1055,224,8,5
0350002,1056,204,10,4
0350003,1057,301,18,12
0350004,1058,175,5,2
0350005,1059,385,29,13
0350006,1060,361,19,8
0350007,1061,235,6,4
0350008,1062,617,39,26
0350009,1063,255,14,11
0350010,1064,310,21,16
0350011,1065,242,17,7
0370007,1066,589,27,19
0370009,1067,367,23,7
0370010,1068,462,25,19
0370011,1069,252,9,1
0370012,1070,653,34,21
0370013,1071,0,0,0
0370014,1072,288,20,12
0370015,1073,192,4,5
0370016,1074,286,11,7
0370017,1075,408,26,14
0370018,1076,528,33,13
0370019,1077,304,10,5
037001,1078,22,1,1
037001,1079,47,3,2
0370020,1080,85,6,3
0370021,1081,46,7,4
0370022,1082,48,3,3
0370024,1083,179,8,1
0370025,1084,309,12,8
0370027,1085,192,5,1
0370028,1086,201,14,4
0370029,1087,92,4,2
037002,1088,49,3,0
037002,1089,19,1,0
037002,1090,15,0,0
037002,1091,1,0,1
0370030,1092,484,28,13
037003,1093,184,14,10
037003,1094,67,9,12
037004,1095,62,6,4
037004,1096,197,19,10
037004,1097,77,8,2
037004,1098,5,0,1
037005,1099,23,1,0
037005,1100,0,0,0
037005,1101,991,75,36
037006,1102,440,45,25
037006,1103,475,38,26
037008,1104,52,6,0
037008,1105,637,21,9
037008,1106,227,9,6
037009,1107,80,0,0
037011,1108,447,29,13
037012,1109,21,0,0
037014,1110,158,22,4
037016,1111,18,1,0
037018,1112,20,1,0
037020,1113,36,3,1
037022,1114,52,3,4
0390001,1115,606,38,43
0390002,1116,792,49,29
0390003,1117,672,34,38
0390004,1118,684,29,16
0390005,1119,473,19,14
0390006,1120,376,9,12
0390007,1121,289,16,21
0390008,1122,141,8,5
0390009,1123,197,10,7
0390010,1124,193,5,7
0390011,1125,490,25,27
0390012,1126,409,27,33
0390013,1127,585,27,23
0390014,1128,986,33,20
0390015,1129,608,30,9
0390016,1130,243,9,14
0390017,1131,235,10,19
