CNTYVTD,VTDKEY,Voter_Registration,Turnout,Spanish_Surname_Voter_Registration,Spanish_Surname_Turnout
292105,521,610,315,541,0.890322580645161
292106,522,610,324,344,0.582554517133956
292107,523,3522,2410,1628,0.468076109936575
292108,524,1178,927,391,0.334763948497854
292109,525,1,1,0,0.0
292110,526,1043,802,443,0.426395939086294
292111,527,1266,676,682,0.546762589928058
292112,528,1799,1253,981,0.564308681672026
292113,529,108,54,52,0.52
292114,530,2438,1350,1404,0.560153256704981
292115,531,4342,3427,1566,0.381666666666667
292116,532,0,0,0,0.0
292117,533,670,368,562,0.843137254901961
292118,534,31,15,26,0.785714285714286
292119,535,319,180,122,0.382352941176471
292120,536,2132,1700,809,0.385331143951834
292121,537,545,324,358,0.678343949044586
292122,538,1803,980,677,0.402476780185758
292123,539,2034,1470,865,0.434192672998643
292124,540,620,482,287,0.482474226804124
292125,541,2974,2275,1053,0.376050420168067
292126,542,1607,953,918,0.588735387885229
292127,543,2693,1845,1225,0.455531453362256
292128,544,2151,1045,1758,0.831875607385811
292129,545,0,0,0,0.0
292130,546,2117,1545,1023,0.486450760079313
292131,547,457,285,156,0.341637010676157
292132,548,3,0,0,0.0
292133,549,353,266,158,0.441860465116279
292134,550,1675,796,702,0.402925531914894
292135,551,781,473,443,0.53927813163482
292136,552,4255,3087,1689,0.405324459234609
292137,553,1225,806,582,0.474470734744707
292138,554,1102,658,487,0.42566510172144
292139,555,1954,1414,888,0.460875807609476
292140,556,1886,1104,951,0.49165120593692
292141,557,1437,1046,654,0.45705824284304
292142,558,733,377,354,0.495934959349593
292143,559,2272,1421,1021,0.47853624208304
292144,560,1915,1348,1003,0.516080777860883
292145,561,355,276,166,0.459259259259259
292146,562,98,56,61,0.685185185185185
292147,563,702,410,321,0.413366336633663
292148,564,4028,2341,1530,0.380172413793103
292149,565,2405,1321,881,0.380694980694981
292150,566,9,8,8,0.777777777777778
292151,567,61,17,29,0.3125
292152,568,687,323,453,0.679245283018868
292153,569,425,211,192,0.462962962962963
292154,570,4034,2862,1682,0.432244614315497
292155,571,1,1,0,0.0
292156,572,1427,870,420,0.308400460299194
292157,573,0,0,0,0.0
292158,574,0,0,0,0.0
292159,575,215,158,99,0.471337579617834
292160,576,5,4,0,0.0
292161,577,216,163,60,0.268292682926829
292162,578,785,513,264,0.344262295081967
292163,579,2554,1804,1075,0.428134556574924
292164,580,2309,1529,862,0.386
