CNTYVTD,VTDKEY,AllredD_20G_U.S. Rep 32,CollinsR_20G_U.S. Rep 32,Mowrey PetersonL_20G_U.S. Rep 32,SigmonI_20G_U.S. Rep 32,AllredD_20G_U.S. Rep 32_Percentage,CollinsR_20G_U.S. Rep 32_Percentage,Mowrey PetersonL_20G_U.S. Rep 32_Percentage,SigmonI_20G_U.S. Rep 32_Percentage
1132151,2347,134,72,5,0,0.6350710900473934,0.3412322274881517,0.023696682464454975,0.0
1132153,2349,634,254,16,7,0.6959385290889133,0.278814489571899,0.01756311745334797,0.007683863885839737
1132200,2352,468,1057,5,5,0.304885993485342,0.6885993485342019,0.003257328990228013,0.003257328990228013
1132201,2353,482,1059,7,3,0.3107672469374597,0.6827852998065764,0.004513217279174726,0.0019342359767891683
1132202,2354,504,1107,6,3,0.3111111111111111,0.6833333333333333,0.003703703703703704,0.001851851851851852
1132203,2355,490,882,9,4,0.35379061371841153,0.6368231046931407,0.006498194945848376,0.002888086642599278
1132220,2356,364,1174,1,5,0.23575129533678757,0.7603626943005182,0.0006476683937823834,0.003238341968911917
1132221,2357,825,2192,26,2,0.270935960591133,0.7198686371100165,0.008538587848932676,0.0006568144499178982
1132222,2358,747,1772,13,8,0.2940944881889764,0.6976377952755906,0.005118110236220472,0.0031496062992125984
1132223,2359,510,858,9,5,0.36903039073806077,0.6208393632416788,0.006512301013024602,0.00361794500723589
1132224,2360,698,775,18,13,0.4640957446808511,0.5152925531914894,0.011968085106382979,0.008643617021276596
1132225,2361,470,966,13,0,0.3243616287094548,0.6666666666666666,0.008971704623878536,0.0
1132226,2362,756,1591,13,6,0.31952662721893493,0.6724429416737109,0.005494505494505495,0.00253592561284869
1132500,2392,531,386,18,2,0.5667022411953042,0.4119530416221985,0.0192102454642476,0.0021344717182497333
1132501,2393,512,620,14,9,0.4432900432900433,0.5367965367965368,0.012121212121212121,0.007792207792207792
1132502,2394,596,958,18,4,0.37817258883248733,0.6078680203045685,0.011421319796954314,0.0025380710659898475
1132503,2395,970,1226,10,3,0.43911272068809415,0.5550022634676324,0.004526935264825713,0.001358080579447714
1132504,2396,493,526,24,9,0.4686311787072243,0.5,0.022813688212927757,0.008555133079847909
1132505,2397,921,709,30,12,0.5508373205741627,0.42404306220095694,0.017942583732057416,0.007177033492822967
1132506,2398,908,906,32,5,0.49054565099945974,0.48946515397082657,0.01728795245813074,0.002701242571582928
1132507,2399,863,843,20,12,0.4965477560414269,0.48504027617951667,0.011507479861910242,0.006904487917146145
1132508,2400,1517,797,72,23,0.6297218762972188,0.33084267330842676,0.029887920298879204,0.009547530095475302
1132509,2401,1145,1160,25,13,0.4886897140418267,0.4950917626973965,0.010670081092616303,0.005548442168160478
1132510,2402,725,561,27,8,0.5488266464799394,0.4246782740348221,0.02043906131718395,0.006056018168054504
1132511,2403,825,702,17,10,0.5308880308880309,0.4517374517374517,0.010939510939510939,0.006435006435006435
1132512,2404,598,528,15,11,0.5190972222222222,0.4583333333333333,0.013020833333333334,0.009548611111111112
1132513,2405,1141,837,23,22,0.5640138408304498,0.41374196737518537,0.011369253583786456,0.010874938210578349
1132514,2406,1104,916,22,19,0.5356622998544396,0.4444444444444444,0.010674429888403688,0.009218825812712276
1132515,2407,290,221,4,1,0.562015503875969,0.42829457364341084,0.007751937984496124,0.001937984496124031
1132517,2408,1274,438,33,8,0.7267541357672561,0.24985738733599544,0.018824871648602397,0.004563605248146035
1132518,2409,827,628,21,12,0.5557795698924731,0.4220430107526882,0.014112903225806451,0.008064516129032258
1132519,2410,1059,517,32,14,0.6528976572133169,0.3187422934648582,0.01972872996300863,0.008631319358816275
1132520,2411,1711,822,28,11,0.6652410575427683,0.31959564541213065,0.01088646967340591,0.0042768273716951785
1132521,2412,1001,628,26,12,0.6004799040191962,0.3767246550689862,0.015596880623875225,0.007198560287942412
1132523,2413,620,444,19,9,0.5677655677655677,0.4065934065934066,0.0173992673992674,0.008241758241758242
1133000,2449,1599,1319,64,28,0.5312292358803987,0.4382059800664452,0.0212624584717608,0.009302325581395349
1133081,2530,733,505,19,9,0.5789889415481833,0.3988941548183254,0.015007898894154818,0.0071090047393364926
1133086,2535,1562,1243,60,19,0.5416088765603329,0.43099861303744796,0.020804438280166437,0.006588072122052704
1133501,2613,1,7,0,0,0.125,0.875,0.0,0.0
1133701,2638,0,3,0,0,0.0,1.0,0.0,0.0
1133702,2639,0,0,0,0,0.0,0.0,0.0,0.0
1133960,2657,1175,1322,41,17,0.4598825831702544,0.5174168297455969,0.01604696673189824,0.006653620352250489
1133961,2658,949,917,28,14,0.4973794549266247,0.4806079664570231,0.014675052410901468,0.007337526205450734
1133962,2659,1563,1801,41,29,0.4551543389633081,0.5244612696563774,0.011939429237041351,0.00844496214327315
1133963,2660,866,976,29,13,0.4596602972399151,0.5180467091295117,0.015392781316348195,0.006900212314225053
